Field Season	Date Collected	Plot	Species	Sex	Weight (g)	Scale Calibrated? (Y/N)
2013	2013-07-16	2	DM	F	NA	Y
2013	2013-07-16	7	DM	M	33	Y
2013	2013-07-16	3	DM	M	NA	Y
2013	2013-07-16	1	DM	M	NA	Y
2013	2013-07-18	3	DM	M	40	Y
2013	2013-07-18	7	DM	M	48	Y
2013	2013-07-18	4	DM	F	29	Y
2013	2013-07-18	6	DM	F	37	Y
2013	2013-08-19	8	DO	F	52	Y
2013	2013-10-17	3	DO	F	33	Y
2013	2013-10-17	3	DO	F	50	Y
2013	2013-12-10	9	DO	F	40	Y
2013	2013-12-10	1	DO	M	45	Y
2013	2013-12-11	8	DO	F	41	Y
2013	2013-11-12	9	DS	F	117	Y
2013	2013-11-13	11	DS	F	126	Y
2013	2013-11-13	17	DS	M	132	N
2013	2013-11-13	14	DS	F	113	N
2013	2013-11-13	11	DS	F	122	Y
2013	2013-11-13	4	DS	F	107	Y
2013	2013-11-13	4	DS	F	115	Y
2014	2014-01-09	1	DM	M	40	Y
2014	2014-01-09	1	DM	F	36	Y
2014	2014-03-13	1	DM	F	51	Y
2014	2014-03-13	1	DM	F	44	Y
2014	2014-03-13	1	DS	F	146	Y
2014	2014-01-08	2	NA	NA	NA	Y
2014	2014-01-08	2	DM	M	44	Y
2014	2014-01-08	2	PF	F	7	Y
2014	2014-01-08	2	DM	M	45	Y
2014	2014-01-08	2	OT	NA	NA	Y
2014	2014-01-08	2	DS	M	157	N
2014	2014-01-08	2	OX	NA	NA	Y
2014	2014-02-18	2	NA	M	218	N
2014	2014-02-18	2	PF	F	7	Y
2014	2014-02-18	2	DM	M	52	Y
2014	2015-03-11	3	PF	M	8	Y
2014	2015-04-08	3	NA	F	NA	Y
2014	2015-05-06	3	NA	NA	NA	Y
2014	2015-05-18	3	NA	F	182	Y
2014	2015-06-09	3	OT	F	29	Y
2014	2015-07-08	3	NA	F	115	Y
2014	2015-07-08	3	NA	M	190	Y
2014	1978-01-08	4	DM	F	37	Y
2014	1978-01-08	4	DM	M	NA	Y
2014	1978-01-08	4	DM	F	48	Y
2014	1978-01-08	4	DO	M	52	Y
2014	1978-01-08	4	OL	M	35	Y
